順位(プライム内),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
152,693,5757,(株)ＣＫサンエツ,東証PRM,"4,215",-20,-0.47,"6,900",04/03
153,696,6742,(株)京三製作所,東証PRM,640,-3,-0.47,"347,800",04/03
154,701,8544,(株)京葉銀行,東証PRM,"2,181",-10,-0.46,"170,700",04/03
155,708,3901,マークラインズ(株),東証PRM,"1,532",-7,-0.45,"47,300",04/03
156,714,9201,日本航空(株),東証PRM,"2,628.5",-12,-0.45,"2,331,800",04/03
157,719,6328,荏原実業(株),東証PRM,"2,470",-11,-0.44,"46,300",04/03
158,722,1429,(株)日本アクア,東証PRM,700,-3,-0.43,"133,200",04/03
159,723,6339,新東工業(株),東証PRM,935,-4,-0.43,"80,400",04/03
160,724,9069,センコーグループホールディングス(株),東証PRM,"1,867",-8,-0.43,"218,600",04/03
161,730,7949,小松ウオール工業(株),東証PRM,"2,626",-11,-0.42,"36,700",04/03
162,734,2337,いちご(株),東証PRM,486,-2,-0.41,"569,000",04/03
163,737,6070,キャリアリンク(株),東証PRM,"2,426",-10,-0.41,"27,100",04/03
164,742,4565,ネクセラファーマ(株),東証PRM,"1,005",-4,-0.4,"770,400",04/03
165,746,9229,(株)サンウェルズ,東証PRM,249,-1,-0.4,"162,500",04/03
166,749,2475,ＷＤＢホールディングス(株),東証PRM,"1,532",-6,-0.39,"8,900",04/03
167,767,9119,飯野海運(株),東証PRM,"1,845",-7,-0.38,"157,500",04/03
168,768,262A,(株)インターメスティック,東証PRM,"1,894",-7,-0.37,"94,900",04/03
169,769,3708,特種東海製紙(株),東証PRM,"1,616",-6,-0.37,"29,600",04/03
170,772,7350,(株)おきなわフィナンシャルグループ,東証PRM,"5,380",-20,-0.37,"50,300",04/03
171,774,7962,(株)キングジム,東証PRM,816,-3,-0.37,"76,900",04/03
172,775,8214,(株)ＡＯＫＩホールディングス,東証PRM,"1,625",-6,-0.37,"93,400",04/03
173,776,8370,(株)紀陽銀行,東証PRM,"4,020",-15,-0.37,"100,600",04/03
174,781,4666,パーク２４(株),東証PRM,"1,928",-7,-0.36,"549,700",04/03
175,783,6454,マックス(株),東証PRM,"1,673",-6,-0.36,"143,300",04/03
176,784,6902,(株)デンソー,東証PRM,"1,923",-7,-0.36,"4,277,700",04/03
177,787,1899,(株)福田組,東証PRM,"8,630",-30,-0.35,"22,400",04/03
178,791,4326,(株)インテージホールディングス,東証PRM,"1,710",-6,-0.35,"28,600",04/03
179,792,5981,東京製綱(株),東証PRM,"1,988",-7,-0.35,"95,500",04/03
180,793,7173,(株)東京きらぼしフィナンシャルグループ,東証PRM,"11,500",-40,-0.35,"84,600",04/03
181,794,9501,東京電力ホールディングス(株),東証PRM,646,-2.3,-0.35,"53,909,200",04/03
