順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1329,1329,3640,(株)電算,東証STD,"3,120",-5,-0.16,"16,900",
1330,1330,3800,(株)ユニリタ,東証STD,"1,908",-3,-0.16,"2,800",
1331,1331,5138,(株)Ｒｅｂａｓｅ,東証GRT,623,-1,-0.16,"1,500",
1332,1332,5947,リンナイ(株),東証PRM,"3,665",-6,-0.16,"229,500",
1333,1333,6635,(株)大日光・エンジニアリング,東証STD,618,-1,-0.16,"8,300",
1334,1334,9601,松竹(株),東証PRM,"12,110",-20,-0.16,"28,000",
1335,1335,9857,英和(株),東証STD,"2,576",-4,-0.16,800,
1336,1336,1358,上場インデックス日経レバレッジ指数,東証ETF,"90,760",-140,-0.15,"16,275",
1337,1337,1476,iシェアーズ・コア Ｊリート ETF,東証ETF,"1,975",-3,-0.15,"56,775",
1338,1338,1498,One ETF ESG,東証ETF,"29,915",-45,-0.15,77,
1339,1339,1965,(株)テクノ菱和,東証STD,"6,760",-10,-0.15,"40,700",
1340,1340,223A,GX AI&ビッグデータ,東証ETF,"1,355",-2,-0.15,"9,883",
1341,1341,2376,(株)サイネックス,東証STD,676,-1,-0.15,"13,700",
1342,1342,2847,GX 新成長インフラ-日本株式,東証ETF,"2,681",-4,-0.15,183,
1343,1343,3326,(株)ランシステム,東証STD,675,-1,-0.15,"7,500",
1344,1344,3486,(株)グローバル・リンク・マネジメント,東証PRM,"2,014",-3,-0.15,"50,400",
1345,1345,3943,大石産業(株),東証STD,"1,370",-2,-0.15,"5,800",
1346,1346,4235,ウルトラファブリックス・ホールディングス(株),東証STD,676,-1,-0.15,"14,500",
1347,1347,4549,栄研化学(株),東証PRM,"3,320",-5,-0.15,"117,800",
1348,1348,6087,(株)アビスト,東証STD,"3,370",-5,-0.15,"1,300",
1349,1349,6915,千代田インテグレ(株),東証STD,"3,355",-5,-0.15,"4,900",
1350,1350,7879,(株)ノダ,東証STD,672,-1,-0.15,"7,300",
1351,1351,8005,(株)スクロール,東証PRM,"1,346",-2,-0.15,"49,600",
1352,1352,8174,日本瓦斯(株),東証PRM,"2,900",-4.5,-0.15,"187,900",
1353,1353,8876,(株)リログループ,東証PRM,"1,991",-3,-0.15,"326,000",
1354,1354,9702,(株)アイ・エス・ビー,東証PRM,"1,996",-3,-0.15,"66,300",
1355,1355,1925,大和ハウス工業(株),東証PRM,"4,971",-7,-0.14,"1,410,300",
1356,1356,2379,ディップ(株),東証PRM,"2,109",-3,-0.14,"219,400",
1357,1357,2569,上場インデックスファンド米国株式(NASDAQ100)H有,東証ETF,"3,545",-5,-0.14,"52,115",
1358,1358,2705,(株)大戸屋ホールディングス,東証STD,"6,970",-10,-0.14,"6,100",
1359,1359,3157,ジオリーブグループ(株),東証STD,"1,426",-2,-0.14,"3,500",
